SKU,Description,Ridgefield latte,Oxford latte,Ridgefield pastel,Oxford Pastel,,,,,,,
UC2424x90,"90"" Utility Cabinet",1734,1798,1734,1798,,,,,,B,
UC2424x96,"96"" Utility Cabinet",1876,1940,1876,1940,,,,,,B,
UC3024X84,"84"" Utility Cabinet",2085,2149,2085,2149,,,,,,B,
UC3024X90,"90"" Utility Cabinet",2316,2380,2316,2380,,,,,,B,
UC3024X96,"96"" Utility Cabinet",2569,2633,2569,2633,,,,,,B,
OV3384,"84"" Oven Cabinet",1817,1877,1817,1877,,,,,,B,
OV3390,"90"" Oven Cabinet",1957,2017,1957,2017,,,,,,B,
OV3396,"96"" Oven Cabinet",2094,2154,2094,2154,,,,,,B,
V2421,"24"" Vanity Cabinet",442,465,442,465,,,,,,B,
V3021,"30"" Vanity Cabinet",469,492,469,492,,,,,,B,
V3621,"36"" Vanity Cabinet",502,528,502,528,,,,,,B,
VDB1221,"12"" Vanity Drawer Base Cabinet",470,494,470,494,,,,,,B,
VDB1521,"15"" Vanity Drawer Base Cabinet",510,536,510,536,,,,,,B,
V2421-30,"24"" Vanity Cabinet",367,385,367,385,,,,,,B,
V3021-30,"30"" Vanity Cabinet",401,422,401,422,,,,,,B,
V3621-30,"36"" Vanity Cabinet",467,490,467,490,,,,,,B,
V2421D-30,"24"" Vanity Combo Cabinet",539,567,539,567,,,,,,B,
V3021D-30,"30"" Vanity Combo Cabinet",615,646,615,646,,,,,,B,
V3621D-30,"36"" Vanity Combo Cabinet",682,717,682,717,,,,,,B,
V3021D,"30"" Vanity Combo Cabinet",782,822,782,822,,,,,,B,
V3621D,"36"" Vanity Combo Cabinet",814,855,814,855,,,,,,B,
V4821DD,"48"" Vanity Combo Cabinet",1231,1293,1231,1293,,,,,,B,
BWBK15-1,"15"" Waste Basket",481,481,481,481,,,,,,B,
BWBK18-2,"18"" Waste Basket",635,635,635,635,,,,,,B,
BWBK21-2,"21"" Waste Basket",881,881,881,881,,,,,,B,
BSPO3,"3"" Base Spice Cabinet",437,437,437,437,,,,,,B,
BSPO6,"6"" Base Spice Cabinet",523,523,523,523,,,,,,B,
WSP330,"30"" Wall Spice Pull Out",496,496,496,496,,,,,,B,
WSP336,"36"" Wall Spice Pull Out",524,524,524,524,,,,,,B,
WSP342,"42"" Wall Spice Pull Out",549,549,549,549,,,,,,B,
WSP630,"30"" Wall Spice Pull Out",558,558,558,558,,,,,,B,
WSP636,"36"" Wall Spice Pull Out",608,608,608,608,,,,,,B,
WSP642,"42"" Wall Spice Pull Out",642,642,642,642,,,,,,B,
Plastic-LS30,"30"" Wall Lazy Susan",285,285,285,285,,,,,,B,
Plastic-LS36/42,"42"" Wall Lazy Susan",440,440,440,440,,,,,,B,
Wood-LS30,"30"" Wall Lazy Susan",563,563,563,563,,,,,,B,
Wood-LS36/42,"36/42"" Wall Lazy Susan",880,880,880,880,,,,,,B,
TOT-15,"15"" Tilt Out Tray",166,166,166,166,,,,,,B,
TOT-18,"18"" Tilt Out Tray",168,168,168,168,,,,,,B,
SGR30,"30"" Stem Glass Rack",529,529,529,529,,,,,,B,
SGR36,"36"" Stem Glass Rack",576,576,576,576,,,,,,B,
AG2418,Appliance Garage,881,881,881,881,,,,,,B,
CAG2418,Corner Appliance Garage,975,975,975,975,,,,,,B,
POS12,"12"" Pull Out Shelf",102,102,102,102,,,,,,B,
POS15,"15"" Pull Out Shelf",111,111,111,111,,,,,,B,
POS18,"18"" Pull Out Shelf",123,123,123,123,,,,,,B,
POS21,"21"" Pull Out Shelf",134,134,134,134,,,,,,B,
POS24,"24"" Pull Out Shelf",142,142,142,142,,,,,,B,
POS27,"27"" Pull Out Shelf",153,153,153,153,,,,,,B,
POS30,"30"" Pull Out Shelf",164,164,164,164,,,,,,B,
POS33,"33"" Pull Out Shelf",172,172,172,172,,,,,,B,
POS36,"36"" Pull Out Shelf",184,184,184,184,,,,,,B,
WF330,"30"" Wall Filler",30,30,30,30,,,,,,B,
WF336,"36"" Wall Filler",37,37,37,37,,,,,,B,
WF342,"42"" Wall Filler",43,43,43,43,,,,,,B,
WF630,"30"" Wall Filler",50,50,50,50,,,,,,B,
WF642,"42"" Wall Filler",69,69,69,69,,,,,,B,
TF396,"96"" Tall Filler",147,147,147,147,,,,,,B,
TF696,"96"" Tall Filler",246,246,246,246,,,,,,B,
