PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
NOCHE ALPACA,CNOCHE1818H,18x18,HF,0.38 INCH,2.25,6,13.5,SQFT,4.4,9.9,,CNOCHE1818H,,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Noche Alpaca 18x18x.38 HF,MSI,New Item,SLOW,27-Nov-07
PAREDON CLASSIC 12X12,CPAREDON1212C,12x12,HF,0.38 INCH,1,1,1,SQFT,2.7,2.7,,CPAREDON1212C,,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Paredon Classic 12x12x.38 HF,MSI,New Item,MATURE,23-Mar-11
PAREDON CLASSIC 18X18,CPAREDON1818C,18x18,HF,0.38 INCH,2.25,1,2.25,SQFT,2.91,6.54,,CPAREDON1818C,,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Paredon 18x18x.38 Classic HF,MSI,Q1-2019 Price List,NEW,27-Sep-12
PHILADELPHIA 18X18,TTPHILTRV1818HF,18x18,HF,0.50 INCH,2.25,1,2.25,SQFT,4.95,11.14,,TTPHILTRV1818HF,www.msisurfaces.com/travertine/philadelphia-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Philadelphia Trav. 18x18x.50 HF,MSI,Q1-2019 Price List,MATURE,27-Nov-07
PHILADELPHIA VERSAILLES PATTERN,TTPHIL-PAT-HUCB,PATTERN,HUFCB,0.50 INCH,16,1,16,SQFT/KIT,5.29,84.63,,TTPHIL-PAT-HUCB,www.msisurfaces.com/travertine/philadelphia-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,PHILADELPHIA TRAV.-PAT-HUFCB 1,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
PICASSO VERSAILLES PATTERN,TTPICASSO-PAT-HUCB,PATTERN,HUFCB,0.50 INCH,16,12,192,SQFT/KIT,3.9,62.36,,TTPICASSO-PAT-HUCB,www.msisurfaces.com/travertine/picasso-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Picasso Pattern HUFCB - 16 sqft,MSI/Hardscape,Q1-2019 Price List,NEW,3-May-13
ROMAN VEIN CUT 12X24 HONED,CROMAN1224H,12x24,HONED,0.38 INCH,2,1,2,SQFT,4.36,8.71,,CROMAN1224H,www.msisurfaces.com/travertine/roman-veincut-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Roman Vein Cut 12x24x.38 HONED,MSI,New Item,NEW,20-Aug-14
ROMAN VEIN CUT 12X24 POLISHED,CROMAN1224P,12x24,POLISHED,0.38 INCH,2,1,2,SQFT,6.07,12.14,,CROMAN1224P,www.msisurfaces.com/travertine/roman-veincut-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Roman Vein Cut 12x24x.38 Polished,MSI,New Item,NEW,1-Apr-11
ROMAN VEIN CUT 18X36,CROMANVC1836H,18x36,HONED,0.38 INCH,4.5,1,4.5,SQFT,8.14,36.63,,CROMANVC1836H,www.msisurfaces.com/travertine/roman-veincut-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Roman Vein Cut 18x36x.38 Honed,MSI,Q1-2019 Price List,NEW,20-Aug-14
ROMAN VEIN CUT 6X24,CROMANVC624H,6x24,HF,0.38 INCH,1,5,5,SQFT,5.85,5.85,,CROMANVC624H,www.msisurfaces.com/travertine/roman-veincut-travertine/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Roman Vein Cut 6x24x.38 Plank Honed,MSI,New Item,NEW,23-Mar-11
SCABAS 18X18,TTSCAB1818HF,18x18,HF,0.50 INCH,2.25,1,2.25,SQFT,4.4,9.9,,TTSCAB1818HF,www.msisurfaces.com/travertine/tuscany-scabas/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Scabas 18x18 HF,MSI,Q1-2019 Price List,MATURE,27-Nov-07
