PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
TARVOS INTERLOCKING,SMOT-GLSIL-TARVOS6MM,PATTERN,MISC.,0.24 INCH,0.97,15,14.55,EACH,9.74,9.74,,SMOT-GLSIL-TARVOS6MM,www.msisurfaces.com/glass-mosaics/tarvos-interlocking-6mm/,MD,GLASS,CERAMICS/PORCELAINS,Tarvos Interlocking 6mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
TAUPE BEVEL,SMOT-PT-TAU-2X4B,2x4,GLOSSY,0.24 INCH,0.89,15,13.35,EACH,5.61,5.61,,SMOT-PT-TAU-2X4B,www.msisurfaces.com/ceramic-mosaics/taupe-subway-tile2x4/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Taupe Bevel 2x4x6mm,MSI,Q1-2019 Price List,NEW,23-Sep-16
TAZA BLEND LANTERN,SMOT-GLSGG-TAZA8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,12.5,12.5,,SMOT-GLSGG-TAZA8MM,www.msisurfaces.com/crackle-glass-blend-8mm/taza-blend/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Taza Blend Lantern Pattern 8mm,MSI,Q1-2019 Price List,NEW,26-Mar-14
TEARDROP TUXE,SMOT-PT-TEARDRPTU,PATTERN,GLOSSY,0.24 INCH,0.94,15,14.1,EACH,5.75,5.75,,SMOT-PT-TEARDRPTU,www.msisurfaces.com/porcelain-glass-blend/teardrop-tuxe-6mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Teardrop Tuxe 6mm,MSI,Q1-2019 Price List,NEW,24-May-18
TELAIO HEXAGON,SMOT-TELAIO-2HEX,PATTERN,HONED,0.38 INCH,1.1,10,11,EACH,22.56,22.56,,SMOT-TELAIO-2HEX,https://www.msistone.com/arabescato-carrara/telaio-hexagon-honed/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Telaio Hexagon Honed,MSI,Q1-2019 Price List,NEW,1-Jun-15
TETRIS BLANCO MOSAIC,SMOT-TETBLA-10MM,PATTERN,HONED,0.38 INCH,0.97,10,9.7,EACH,14.18,14.18,,SMOT-TETBLA-10MM,www.msisurfaces.com/carrara-white/tetris-blanco-10mm/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Tetris Blanco 10mm,MSI,Q1-2019 Price List,NEW,23-Aug-17
TETRIS FLORITA BLANCO,TTETBLANCO66,6X6,POLISHED,0.38 INCH,0.25,20,5,SQFT,22.02,5.5,,TTETBLANCO66,www.msisurfaces.com/carrara-white/tetris-florita-blanco-6x6/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Tetris Florita Blanco 6x6,MSI,Q1-2019 Price List,NEW,23-Aug-17
TETRIS FLORITA NERO,TTETNERO66,6X6,POLISHED,0.38 INCH,0.25,20,5,SQFT,24.17,6.04,,TTETNERO66,www.msisurfaces.com/natural-stone-mosaics/tetris-florita-nero-6x6/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Tetris Florita Nero 6x6,MSI,Q1-2019 Price List,NEW,23-Aug-17
TETRIS NERO MOSAIC,SMOT-TETNERO-10MM,PATTERN,HONED,0.38 INCH,0.97,10,9.7,EACH,14.18,14.18,,SMOT-TETNERO-10MM,www.msisurfaces.com/natural-stone-mosaics/tetris-nero-10mm/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Tetris Nero 10mm,MSI,Q1-2019 Price List,NEW,8-Aug-17
TEXTALIA 3X6 MOSAIC,SMOT-GLS-TEK36,3X6,MISC.,0.31 INCH,0.94,10,9.4,EACH,9.46,9.46,,SMOT-GLS-TEK36,www.msisurfaces.com/glass-mosaics/tektalia-3x6x8mm/,MD,GLASS,CERAMICS/PORCELAINS,Tektalia 3x6x8mm Mesh in 12x12,MSI,Q1-2019 Price List,NEW,27-Feb-17
TEXTALIA HERRINGBONE,SMOT-GLS-TEXHER6MM,PATTERN,MISC.,0.24 INCH,0.98,15,14.7,EACH,9.74,9.74,,SMOT-GLS-TEXHER6MM,www.msisurfaces.com/glass-mosaics/textalia-herringbone-6mm/,MD,GLASS,CERAMICS/PORCELAINS,Textalia Herringbone 6mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
TITAN INTERLOCKING,SMOT-SPIL-TI8MM,PATTERN,MISC.,0.31 INCH,0.98,10,9.8,EACH,11.15,11.15,,SMOT-SPIL-TI8MM,www.msisurfaces.com/porcelain-stone-blend/titan-interlocking/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Titan Interlocking Pattern 8mm,MSI,Q1-2019 Price List,NEW,21-May-13
TREASURE TRAIL IRIDESCENT,THDWG-IR-TT-4MM,3/4x3/4,MISC.,0.16 INCH,1,20,20,EACH,3.7,3.7,,THDWG-IR-TT-4MM,www.msisurfaces.com/iridescent-glass-4mm/treasure-trail/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Treasure Trail Iridescent 3/4x3/4x4mm,MSI,Q1-2019 Price List,MATURE,13-Nov-09
TRITON INTERLOCKING,SMOT-SPIL-TRITON8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,9.84,9.84,,SMOT-SPIL-TRITON8MM,www.msisurfaces.com/porcelain-stone-blend/triton-interlocking/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Triton Interlocking Pattern 8mm,MSI,Q1-2019 Price List,NEW,20-Feb-14
TRUFFLE STONE INTERLOCKING,SMOT-SGLSIL-TS8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,11.26,11.26,,SMOT-SGLSIL-TS8MM,www.msisurfaces.com/glass-stone-blend-designs/truffle-stone-interlocking/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Truffle Stone Interlocking Pattern 8mm,MSI,Q1-2019 Price List,NEW,26-Sep-13
TURKISH CARRARA 9 RADIUS COR SHELF POL,SMOT-CSHELF-TURCAR9,MISC.,POLISHED,0.75 INCH,N/A,1,N/A,EACH,10.02,10.02,,SMOT-CSHELF-TURCAR9,www.msisurfaces.com/corner-shelf/turkish-carrara-9-radius-cornershelf-polished/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,"Turkish Carrara 9"" Radius Cor Shelf Pol",MSI,New Item,NEW,28-Jun-18
URBAN LOFT INTERLOCKING,SMOT-SGLSMTIL-URBLOF4MM,PATTERN,MISC.,0.16 INCH,1,20,20,EACH,7.48,7.48,,SMOT-SGLSMTIL-URBLOF4MM,www.msisurfaces.com/glass-stone-metal-blend/urban-loft-interlocking/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Urban Loft Interlocking Pattern 4mm,MSI,Q1-2019 Price List,NEW,12-Sep-15
URBANKA INTERLOCKING,SMOT-GLSMTIL-URBNKA6MM,PATTERN,MISC.,0.24 INCH,1,15,15,EACH,5.11,5.11,,SMOT-GLSMTIL-URBNKA6MM,www.msisurfaces.com/glass-metal-blend/urbanka-Interlocking-6mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Urbanka Interlocking 6mm,MSI,Q1-2019 Price List,NEW,21-Mar-18
URBANO BLEND INTERLOCKING,SMOT-SGLSIL-URB8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,9.37,9.37,,SMOT-SGLSIL-URB8MM,www.msisurfaces.com/glass-stone-blend-designs/urbano-blend-interlocking/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Urbano Blend Interlocking Pattern 8mm,MSI,Q1-2019 Price List,NEW,9-Sep-13
URBAN TAPESTRY HEXAGON,SMOT-GLS-UT6MM,PATTERN,MISC.,0.24 INCH,0.98,15,14.7,EACH,9.74,9.74,,SMOT-GLS-UT6MM,www.msisurfaces.com/inkjet-glass/urban-tapestry-hexagon/,MD,GLASS,CERAMICS/PORCELAINS,Urban Tapestry Hexagon 6mm,MSI,Q1-2019 Price List,NEW,10-Jun-15
URBAN TAPESTRY INTERLOCKING,SMOT-GLSIL-UT6MM,PATTERN,MISC.,0.24 INCH,0.97,15,14.55,EACH,9.74,9.74,,SMOT-GLSIL-UT6MM,www.msisurfaces.com/glass-mosaics/urban-tapestry-interlocking-6mm/,MD,GLASS,CERAMICS/PORCELAINS,Urban Tapestry Interlocking 6mm,MSI,Q1-2019 Price List,NEW,11-May-16
URBANO CREMA 3D MIX 4X12,NURBCREMIX4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBCREMIX4X12,www.msisurfaces.com/ceramic-mosaics/urbano-crema-3d-mix/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO CREMA 3D MIX 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO CREMA 4X12,NURBCRE4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBCRE4X12,www.msisurfaces.com/ceramic-mosaics/urbano-crema/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO CREMA 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO DUSK 3D MIX 4X12,NURBDUSMIX4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBDUSMIX4X12,www.msisurfaces.com/ceramic-mosaics/urbano-dusk-3d-mix/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO DUSK 3D MIX 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO DUSK 4X12,NURBDUS4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBDUS4X12,www.msisurfaces.com/ceramic-mosaics/urbano-dusk/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO DUSK 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO GRAPHITE 3D MIX 4X12,NURBGRAMIX4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBGRAMIX4X12,www.msisurfaces.com/ceramic-mosaics/urbano-graphite-3d-mix/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO GRAPHITE 3D MIX 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO GRAPHITE 4X12,NURBGRA4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBGRA4X12,www.msisurfaces.com/ceramic-mosaics/urbano-graphite/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO GRAPHITE 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO INK 3D MIX 4X12,NURBINKMIX4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBINKMIX4X12,www.msisurfaces.com/ceramic-mosaics/urbano-ink-3d-mix/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO INK 3D MIX 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO INK 4X12,NURBINK4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBINK4X12,www.msisurfaces.com/ceramic-mosaics/urbano-ink/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO INK 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO PURE 3D MIX 4X12,NURBPURMIX4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBPURMIX4X12,www.msisurfaces.com/ceramic-mosaics/urbano-pure-3d-mix/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO PURE 3D MIX 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO PURE 4X12,NURBPUR4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBPUR4X12,www.msisurfaces.com/ceramic-mosaics/urbano-pure/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO PURE 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO WARM CONCRETE 3D MIX 4X12,NURBWARCONMIX4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBWARCONMIX4X12,www.msisurfaces.com/ceramic-mosaics/urbano-warm-concrete-3d-mix/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO WARM CONCRETE 3D MIX 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
URBANO WARM CONCRETE 4X12,NURBWARCON4X12,4x12,GLOSSY,0.31 INCH,0.33,30,9.99,EACH,0.9,0.9,,NURBWARCON4X12,www.msisurfaces.com/ceramic-mosaics/urbano-warm-concrete/,PT,CERAMIC,CERAMICS/PORCELAINS,URBANO WARM CONCRETE 4X12 GLOSSY,MSI,New Item,NEW,28-Nov-18
VAGUE BLUE SUBWAY,SMOT-GLSST-VAGBLUBEV6MM,2x6,MISC.,0.24 INCH,0.96,15,14.4,EACH,13.42,13.42,,SMOT-GLSST-VAGBLUBEV6MM,www.msisurfaces.com/glass-mosaics/vague-blue-subway-6mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Vague Blue Subway 6mm,MSI,New Item,NEW,5-Nov-18
VALENCIA BLEND ELONGATED MOSAIC,SMOT-VALBLND-OCTEL10MM,PATTERN,POLISHED,0.38 INCH,1.1,10,11,EACH,13.14,13.14,,SMOT-VALBLND-OCTEL10MM,www.msisurfaces.com/crema-marfil/valencia-blend-elongated-octagon/,MD,MARBLE,NATURAL STONE MARBLE COLLECTIONS,Valencia Blend Elongated Oct Pol,MSI,Q1-2019 Price List,NEW,10-Sep-15
VENETIAN CAFÉ,SMOT-GLSGGBRK-VC8MM,1x4,MISC.,0.31 INCH,1,10,10,EACH,11.88,11.88,,SMOT-GLSGGBRK-VC8MM,www.msisurfaces.com/crackle-glass-blend-8mm/venetian-cafe/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Venetian Cafe 1x4x8mm,MSI,Q1-2019 Price List,NEW,14-Mar-13
VERDE AZUL BEVELED,SMOT-GL-T-VERAZU2.5X8,2.5X8,MISC.,0.31 INCH,0.14,40,5.6,SQFT,12.85,1.8,,SMOT-GL-T-VERAZU2.5X8,https://www.msistone.com/glass-mosaics/verde-azul-2.5x8x8mm-beveled/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Verde Azul 2.5x8x8mm Beveled,MSI,Q1-2019 Price List,NEW,21-Mar-18
VICTORIAN LIGHT ARABESQUE,SMOT-PT-VICLTARAB8MM,PATTERN,GLOSSY,0.31 INCH,1.04,10,10.4,EACH,8.13,8.13,,SMOT-PT-VICLTARAB8MM,www.msisurfaces.com/glass-mosaics/victorian-light-arabesque-8mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - HIGHLAND PARK COLLECTION,Victorian Light Arabesque 8mm,MSI,New Item,NEW,31-Oct-18
VISTA AZUL HEXAGON,SMOT-GLS-VISAZU6MM,PATTERN,MATTE,0.24 INCH,0.98,15,14.7,EACH,9.74,9.74,,SMOT-GLS-VISAZU6MM,www.msisurfaces.com/glass-mosaics/vista-azul-hexagon-6mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Vista Azul Hexagon 6mm,MSI,New Item,NEW,31-Oct-18
VOLCANIC LUXE INTERLOCKING,SMOT-GLSMTIL-VOLLX8MM,MISC.,MISC.,0.31 INCH,0.95,10,9.5,EACH,12.15,12.15,,SMOT-GLSMTIL-VOLLX8MM,www.msisurfaces.com/glass-stone-blend-designs/volcanic-luxe-interlocking-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Volcanic Luxe Interlocking 8mm,MSI,Q1-2019 Price List,NEW,18-Jan-18
WHISTLER ICE INTERLOCKING,SMOT-GLSPIL-WHISTIC8MM,PATTERN,MISC.,0.31 INCH,0.97,10,9.7,EACH,8.91,8.91,,SMOT-GLSPIL-WHISTIC8MM,www.msisurfaces.com/porcelain-glass-blend/whistler-ice-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Whistler Ice Interlocking 8mm,MSI,Q1-2019 Price List,NEW,2-Jun-17
WHITE QUARRY CHEVRON,SMOT-WQ-CHEVRON10MM,PATTERN,MISC.,0.38 INCH,1,10,10,EACH,12.5,12.5,,SMOT-WQ-CHEVRON10MM,www.msisurfaces.com/white-oak/white-quarry-chevron/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,White Quarry Chevron 10mm,MSI,Q1-2019 Price List,NEW,26-Mar-14
WHITE QUARRY INTERLOCKING,SMOT-WQ-ILH10MM,PATTERN,HONED,0.38 INCH,1,10,10,EACH,11.36,11.36,,SMOT-WQ-ILH10MM,www.msisurfaces.com/white-oak/white-quarry-interlocking/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,White Quarry Interlocking Pattern Honed,MSI,Q1-2019 Price List,NEW,10-Oct-13
WHITE QUARRY INTERLOCKING 3D PEEL&STICK,SMOT-PNS-WQIL3D-6MM,PATTERN,HONED,0.24 INCH,1,15,15,EACH,8.85,8.85,,SMOT-PNS-WQIL3D-6MM,www.msisurfaces.com/stick-wall-tile/white-quarry-interlocking-3d/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,White Quarry Interlocking 3D Peel&Stick,MSI,Q1-2019 Price List,NEW,19-Oct-16
WHITE QUARRY SAVONA,SMOT-WQSAV-HON10MM,PATTERN,POLISHED,0.38 INCH,0.97,10,9.7,EACH,19.51,19.51,,SMOT-WQSAV-HON10MM,www.msisurfaces.com/glass-mosaics/white-quarry-savona/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,White Quarry Savona,MSI,Q1-2019 Price List,NEW,21-Mar-18
WHITE QUARRY SPLITFACE,SMOT-WQ-SFIL10MM,PATTERN,SPLIT HON,0.38 INCH,1,10,10,EACH,10.97,10.97,,SMOT-WQ-SFIL10MM,www.msisurfaces.com/white-oak/white-quarry-splitface/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,White Quarry Split Face,MSI,Q1-2019 Price List,NEW,14-Mar-13
WHITE WAVE INTERLOCKING,SMOT-SGLSMTIL-WHTWA4MM,PATTERN,MISC.,0.16 INCH,1,20,20,EACH,7.48,7.48,,SMOT-SGLSMTIL-WHTWA4MM,www.msisurfaces.com/glass-metal-blend/white-wave-interlocking/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,White Wave Interlocking 4mm,MSI,Q1-2019 Price List,NEW,12-Nov-15
WINTER OAK VENEER PEEL AND STICK,SMOT-PNS-VNR-WG6MM,PATTERN,HONED,0.24 INCH,0.92,15,13.8,EACH,6.15,6.15,,SMOT-PNS-VNR-WG6MM,www.msisurfaces.com/stick-wall-tile/winter-oak-veneer/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Winter Oak Veneer Peel and Stick,MSI,Q1-2019 Price List,NEW,5-Dec-16
ZAMORA INTERLOCKING,SMOT-GLSIL-ZAMO8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,12.75,12.75,,SMOT-GLSIL-ZAMO8MM,www.msisurfaces.com/glass-stone-blend-designs/zamora-interlocking-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Zamora Interlocking 8mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
ZIRCONIA INTERLOCKING,SMOT-GLSIL-ZIRCONIA8MM,PATTERN,MISC.,0.31 INCH,0.97,10,9.7,EACH,12.88,12.88,,SMOT-GLSIL-ZIRCONIA8MM,www.msisurfaces.com/crystallized-glass-blend-8mm/zirconia-interlocking/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Zirconia Interlocking 8mm,MSI,Q1-2019 Price List,NEW,18-Nov-14
ZODIA INTERLOCKING,SMOT-GLSIL-ZODIA6MM,PATTERN,MISC.,0.24 INCH,0.97,15,14.55,EACH,9.74,9.74,,SMOT-GLSIL-ZODIA6MM,www.msisurfaces.com/glass-mosaics/zodia-interlocking-6mm/,MD,GLASS,CERAMICS/PORCELAINS,Zodia Interlocking 6mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,,,,,,,,,,,,,,,,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,,,,,
ALMOND GLOSSY 3X6,NALMGLO3X6,3X6,GLOSSY,0.25 INCH,0.13,136,17,SQFT,1.99,0.25,,NALMGLO3X6,www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-tile-3x6/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6,MSI,Q1-2019 Price List,NEW,31-Dec-12
ALMOND GLOSSY 3X6 BEVELED,NALMGLO3X6BEV,3X6,GLOSSY,0.25 INCH,0.13,116,14.5,SQFT,2.17,0.27,,NALMGLO3X6BEV,www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-tile3x6-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 BEVELED,MSI,Q1-2019 Price List,NEW,31-Dec-12
ALMOND GLOSSY 3X6 BULL NOSE,NALMGLO3X6BN,3X6,GLOSSY,0.25 INCH,N/A,136,N/A,EACH,1.13,1.13,,NALMGLO3X6BN,www.msisurfaces.com/ceramic-mosaics/almond-glossy-3x6-bull-nose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6SINGLE BULL NOSE,MSI,Q1-2019 Price List,NEW,31-Dec-12
ALMOND GLOSSY 3X6 INVERTED BEVELED,NALMGLO3X6INVBEV,3X6,GLOSSY,0.25 INCH,0.13,120,15,SQFT,2.17,0.27,,NALMGLO3X6INVBEV,www.msisurfaces.com/domino/almond-glossy-3x6-inverted-beveled/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 3X6 INVERTED BEVELE,MSI,Q1-2019 Price List,NEW,27-Apr-17
ALMOND GLOSSY 4X16,NALMGLO4X16,4x16,GLOSSY,0.25 INCH,0.44,25,11.1,SQFT,1.42,0.63,,NALMGLO4X16,www.msisurfaces.com/ceramic-mosaics/almond-glossy-subway-4x16/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY 4X16,MSI,Q1-2019 Price List,NEW,28-Dec-12
ALMOND GLOSSY 4X16 BULL NOSE,NALMGLO4X16SBN,4x16,GLOSSY,0.35 INCH,0.44,25,11.11,EACH,2.68,2.68,,NALMGLO4X16SBN,www.msisurfaces.com/ceramic-mosaics/almond-glossy-4x16-bullnose/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY4X16SINGLE BULL NOSE,MSI,Q1-2019 Price List,NEW,31-Dec-12
ALMOND GLOSSY ARABESQUE,NALMARAG,MISC.,GLOSSY,0.39 INCH,0.77,20,15.46,EACH,4.73,4.73,,NALMARAG,www.msisurfaces.com/domino/almond-glossy-arabesque-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY ARABESQUE MOSAIC,MSI,Q1-2019 Price List,NEW,12-May-17
ALMOND GLOSSY CHAIR RAIL 2X6 MOLDING,NALMGLOCHARAI2X6,2x6,GLOSSY,0.35 INCH,N/A,45,N/A,EACH,4.47,4.47,,NALMGLOCHARAI2X6,,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSYCHAIR RAIL MOLDIN2X6,MSI,Q1-2019 Price List,NEW,27-Feb-18
ALMOND GLOSSY FISH SCALE,NALMFISG,N/A,GLOSSY,0.39 INCH,0.76,17,12.94,EACH,4.73,4.73,,NALMFISG,www.msisurfaces.com/domino/almond-glossy-fish-scale-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY FISH SCALE MOSAIC,MSI,Q1-2019 Price List,NEW,12-May-17
ALMOND GLOSSY HERRINGBONE,NALMHBG,MISC.,GLOSSY,0.39 INCH,0.85,20,16.9,EACH,4.73,4.73,,NALMHBG,www.msisurfaces.com/domino/almond-glossy-herringbone-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY HERRINGBONE MOSAIC,MSI,Q1-2019 Price List,NEW,12-May-17
ALMOND GLOSSY PENCIL 1/2X12 MOLDING,NALMGLO-PENCIL,MISC.,GLOSSY,0.29 INCH,N/A,100,N/A,EACH,2.17,2.17,,NALMGLO-PENCIL,www.msisurfaces.com/ceramic-mosaics/almond-glossy-pencil-molding/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY PENCIL MOLDING,MSI,Q1-2019 Price List,NEW,27-Oct-17
ALMOND GLOSSY PENNY ROUND,NALMPENROU,MISC.,GLOSSY,0.39 INCH,1,20,19.93,EACH,5.06,5.06,,NALMPENROU,www.msisurfaces.com/domino/almond-glossy-penny-round-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,ALMOND GLOSSY PENNY ROUND MOSAIC,MSI,Q1-2019 Price List,NEW,12-May-17
BLACK 2X2 MATTE,NBLA2X2,2x2,MATTE,0.38 INCH,1,8,8,EACH,5.06,5.06,,NBLA2X2,www.msisurfaces.com/domino/black-2x2-matte/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK 2X2 MATTE,MSI,New Item,NEW,15-Aug-18
BLACK 2X2 POLISHED,NBLA2X2P,2x2,POLISHED,0.38 INCH,1,8,8,EACH,3.82,3.82,,NBLA2X2P,www.msisurfaces.com/domino/black-2x2-polished/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK 2X2 POLISHED MOSAIC,MSI,New Item,NEW,15-Aug-18
BLACK AND WHITE 1X1 HEXAGON,NBLAWHI1X1HEX,1x1,MATTE,0.31 INCH,0.83,23,20.75,EACH,3.7,3.7,,NBLAWHI1X1HEX,www.msisurfaces.com/domino/black-and-white-1X1-hexagon-matte/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK AND WHITE 1X1 HEXAGON MATTE,MSI,Q1-2019 Price List,NEW,11-Sep-17
BLACK GLOSSY PENNY ROUND,NBLAPENROU,N/A,GLOSSY,0.39 INCH,1,20,19.93,EACH,5.06,5.06,,NBLAPENROU,www.msisurfaces.com/domino/black-glossy-penny-round-mosaics/,PT,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS - DOMINO COLLECTION,BLACK GLOSSY PENNY ROUND MOSAIC,MSI,Q1-2019 Price List,NEW,12-May-17
