* Color Green highlighted items are launched in last 6 months,,,,,,,,,,,,,,,,,,,,,,,,
*Items highlighted in Orange will have a rolling change in pieces per box or boxes per pallet packaging in 2020.  These will be communicated as the old inventory depletes and the new inventory with new packaging arrives,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT COLLECTION,ItemNumber,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,ItemNumber,Web Link,Product Line,Material,Product Category,PRODUCT COLLECTION,Description,Status,Source,Creation Date,Comments,,
VINTAGE LACE 8X36,NVINLAC8X36,8x36,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.58,5.15,,NVINLAC8X36,https://www.msisurfaces.com/wood-look-tile/porcelain/vintage/lace/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,VINTAGE LACE 8X36,VINTAGE LACE 8X36 MATTE,MSI,2019 Price list,3-May-16,,,
VINTAGE SILVER 8X36,NVINSIL8X36,8x36,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.58,5.15,,NVINSIL8X36,https://www.msisurfaces.com/wood-look-tile/porcelain/vintage/silver/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,VINTAGE SILVER 8X36,VINTAGE SILVER 8X36 MATTE,MSI,2019 Price list,3-May-16,,,
VISION GLACIER 12X24,NVISGLA1224,12x24,MATTE,0.38 INCH,2.00,8.00,16.00,SQFT,1.62,3.24,,NVISGLA1224,https://www.msisurfaces.com/ceramic-essentials/vision-glacier/,PT,CERAMIC,CERAMICS/PORCELAIN FLOOR TILES,VISION GLACIER 12X24,VISION GLACIER 12X24 MATTE,MSI,2019 Price list,14-Oct-14,,,
VISION GLACIER 3X18 BULL NOSE,NVISGLA3X18BN-R,3x18,MATTE,0.25 INCH,N/A,30.00,N/A,EACH,3.29,3.29,,NVISGLA3X18BN-R,https://www.msisurfaces.com/ceramic-essentials/vision-glacier/,PT,CERAMIC,CERAMICS/PORCELAIN FLOOR TILES,VISION GLACIER 3X18 BULL NOSE,VISION GLACIER 3X18 BULLNOSE,MSI,2019 Price list,15-Jul-16,,,
WATERCOLOR BIANCO 12X24,NWATBIA1224,12x24,MATTE,0.35 INCH,2.00,6.00,12.00,SQFT,2.33,4.65,,NWATBIA1224,https://www.msisurfaces.com/porcelain-watercolor/bianco/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR BIANCO 12X24,WATERCOLOR BIANCO 12X24 MATTE,MSI,2019 Price list,22-Mar-16,,,
WATERCOLOR BIANCO 3.5X24 BULL NOSE,NWATBIA3.5X24BN,3.5X24,MATTE,0.35 INCH,0.58,12.00,7.00,EACH,6.11,6.11,,NWATBIA3.5X24BN,https://www.msisurfaces.com/porcelain-watercolor/bianco/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR BIANCO 3.5X24 BULL NOSE,WATERCOLOR BIANCO 3.5X24 BULLNOSE,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR BIANCO 6X36,NWATBIA6X36,6x36,MATTE,0.35 INCH,1.50,9.00,13.50,SQFT,2.70,4.05,,NWATBIA6X36,https://www.msisurfaces.com/porcelain-watercolor/bianco/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR BIANCO 6X36,WATERCOLOR BIANCO 6X36 MATTE,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR BIANCO CHEVRON 12X15 MOSAIC,NWATBIACHE12X15,12x15,MATTE,0.39 INCH,1.25,4.00,5.00,EACH,12.13,12.13,,NWATBIACHE12X15,https://www.msisurfaces.com/watercolor-mosaics/bianco-chevron-mosaic-12x15/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR BIANCO CHEVRON 12X15 MOSAIC,WATERCOLOR BIANCO CHEVRON MOSAIC 12X15,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR GRAPHITE 12X24,NWATGRA1224,12x24,MATTE,0.35 INCH,2.00,6.00,12.00,SQFT,2.33,4.65,,NWATGRA1224,https://www.msisurfaces.com/porcelain-watercolor/graphite/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRAPHITE 12X24,WATERCOLOR GRAPHITE 12X24 MATTE,MSI,2019 Price list,22-Mar-16,,,
WATERCOLOR GRAPHITE 3.5X24 BULL NOSE,NWATGRA3.5X24BN,3.5X24,MATTE,0.35 INCH,0.58,12.00,7.00,EACH,6.11,6.11,,NWATGRA3.5X24BN,https://www.msisurfaces.com/porcelain-watercolor/graphite/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRAPHITE 3.5X24 BULL NOSE,WATERCOLOR GRAPHITE 3.5X24 BULLNOSE,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR GRAPHITE 6X36,NWATGRA6X36,6x36,MATTE,0.35 INCH,1.50,9.00,13.50,SQFT,2.70,4.05,,NWATGRA6X36,https://www.msisurfaces.com/porcelain-watercolor/graphite/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRAPHITE 6X36,WATERCOLOR GRAPHITE 6X36 MATTE,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR GRAPHITE CHEVRON 12X15 MOSAIC,NWATGRACHE12X15,12x15,MATTE,0.39 INCH,1.25,4.00,5.00,EACH,12.13,12.13,,NWATGRACHE12X15,https://www.msisurfaces.com/watercolor-mosaics/graphite-chevron-mosaic-12x15/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRAPHITE CHEVRON 12X15 MOSAIC,WATERCOLOR GRAPHITE CHEVRON MOSAIC 12X15,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR GRIGIO 12X24,NWATGRI1224,12x24,MATTE,0.35 INCH,2.00,6.00,12.00,SQFT,2.33,4.65,,NWATGRI1224,https://www.msisurfaces.com/porcelain-watercolor/grigio/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRIGIO 12X24,WATERCOLOR GRIGIO 12X24 MATTE,MSI,2019 Price list,22-Mar-16,,,
WATERCOLOR GRIGIO 3.5X24 BULL NOSE,NWATGRI3.5X24BN,3.5X24,MATTE,0.35 INCH,0.58,12.00,7.00,EACH,6.11,6.11,,NWATGRI3.5X24BN,https://www.msisurfaces.com/porcelain-watercolor/grigio/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRIGIO 3.5X24 BULL NOSE,WATERCOLOR GRIGIO 3.5X24 BULLNOSE,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR GRIGIO 6X36,NWATGRI6X36,6x36,MATTE,0.35 INCH,1.50,9.00,13.50,SQFT,2.70,4.05,,NWATGRI6X36,https://www.msisurfaces.com/porcelain-watercolor/grigio/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRIGIO 6X36,WATERCOLOR GRIGIO 6X36 MATTE,MSI,2019 Price list,27-Dec-16,,,
WATERCOLOR GRIGIO CHEVRON 12X15 MOSAIC,NWATGRICHE12X15,12x15,MATTE,0.39 INCH,1.25,4.00,5.00,EACH,12.13,12.13,,NWATGRICHE12X15,https://www.msisurfaces.com/watercolor-mosaics/grigio-chevron-mosaic-12x15/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WATERCOLOR GRIGIO CHEVRON 12X15 MOSAIC,WATERCOLOR GRIGIO CHEVRON MOSAIC 12X15,MSI,2019 Price list,27-Dec-16,,,
WHITE VENA 12X24,NWHIVEN1224,12x24,MATTE,0.36 INCH,2.00,8.00,16.00,SQFT,1.62,3.24,,NWHIVEN1224,https://www.msisurfaces.com/ceramic-essentials/white-vena/,PT,CERAMIC,CERAMICS/PORCELAIN FLOOR TILES,WHITE VENA 12X24,WHITE VENA 12X24 MATTE,MSI,2019 Price list,18-Dec-15,,,
WHITE VENA 2X2 MOSAIC,NWHIVEN2X2,2x2,MATTE,0.36 INCH,1.00,8.00,8.00,EACH,4.47,4.47,,NWHIVEN2X2,#N/A,PT,CERAMIC,CERAMICS/PORCELAIN FLOOR TILES,WHITE VENA 2X2 MOSAIC,WHITE VENA 2X2 MOSAIC MATTE,MSI,2019 Price list,17-Jan-18,,,
WHITE VENA 3X18 BULL NOSE,NWHIVEN3X18BN-R,3x18,MATTE,0.39 INCH,N/A,30.00,N/A,EACH,3.29,3.29,,NWHIVEN3X18BN-R,https://www.msisurfaces.com/ceramic-essentials/white-vena/,PT,PORCELAIN,CERAMICS/PORCELAIN FLOOR TILES,WHITE VENA 3X18 BULL NOSE,WHITE VENA 3X18 BULLNOSE,MSI,2019 Price list,15-Jul-16,,,
EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,,,,,,,,,,,,,,,,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,,MSI,,,,,
GLENRIDGE AGED HICKORY,VTGAGEHIC6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGAGEHIC6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/aged-hickory/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE AGED HICKORY,GLENRIDGE - AGED HICKORY 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE BLEACHED ELM,VTGBLEELM6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGBLEELM6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/bleached-elm/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE BLEACHED ELM,GLENRIDGE - BLEACHED ELM 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE BURNISHED ACACIA,VTGBURACA6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGBURACA6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/burnished-acacia/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE BURNISHED ACACIA,GLENRIDGE - BURNISHED ACACIA 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE CHARCOAL OAK,VTGCHAOAK6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGCHAOAK6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/charcoal-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE CHARCOAL OAK,GLENRIDGE - CHARCOAL OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE COASTAL MIX,VTGCOAMIX6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGCOAMIX6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/coastal-mix/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE COASTAL MIX,GLENRIDGE - COASTAL MIX 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE ELMWOOD ASH,VTGELMASH6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGELMASH6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/elmwood-ash/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE ELMWOOD ASH,GLENRIDGE - ELMWOOD ASH 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE JATOBA,VTGJATOBA6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGJATOBA6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/jatoba/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE JATOBA,GLENRIDGE - JATOBA 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE LIME WASHED OAK,VTGLIMWAS6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGLIMWAS6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/lime-washed-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE LIME WASHED OAK,GLENRIDGE - LIME WASHED OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE MIDNIGHT MAPLE,VTGMIDMAP6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGMIDMAP6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/midnight-maple/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE MIDNIGHT MAPLE,GLENRIDGE - MIDNIGHT MAPLE 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE RECLAIMED OAK,VTGRECOAK6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGRECOAK6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/reclaimed-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE RECLAIMED OAK,GLENRIDGE - RECLAIMED OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE SADDLE OAK,VTGSADOAK6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGSADOAK6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/saddle-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE SADDLE OAK,GLENRIDGE - SADDLE OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE TAWNY BIRCH,VTGTAWBIR6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGTAWBIR6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/tawny-birch/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE TAWNY BIRCH,GLENRIDGE - TAWNY BIRCH 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE TWILIGHT OAK,VTGTWIOAK6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGTWIOAK6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/twilight-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE TWILIGHT OAK,GLENRIDGE - TWILIGHT OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
GLENRIDGE WOODRIFT GRAY,VTGWOOGRA6X48-2MM-12MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,1.12,2.24,,VTGWOOGRA6X48-2MM-12MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-glenridge/woodrift-gray/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,GLENRIDGE WOODRIFT GRAY,GLENRIDGE - WOODRIFT GRAY 6X48,MSI,2019 Price list,26-Mar-18,,,
KATAVIA BLEACHED ELM,VTGBLEELM6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGBLEELM6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/bleached-elm/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA BLEACHED ELM,KATAVIA - BLEACHED ELM 6X48,MSI,2019 Price list,27-Mar-18,,,
KATAVIA BURNISHED ACACIA,VTGBURACA6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGBURACA6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/burnished-acacia/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA BURNISHED ACACIA,KATAVIA - BURNISHED ACACIA 6X48,MSI,2019 Price list,26-Mar-18,,,
KATAVIA CHARCOAL OAK,VTGCHAOAK6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGCHAOAK6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/charcoal-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA CHARCOAL OAK,KATAVIA - CHARCOAL OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
KATAVIA ELMWOOD ASH,VTGELMASH6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGELMASH6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/elmwood-ash/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA ELMWOOD ASH,KATAVIA - ELMWOOD ASH 6X48,MSI,2019 Price list,26-Mar-18,,,
KATAVIA RECLAIMED OAK,VTGRECOAK6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGRECOAK6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/reclaimed-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA RECLAIMED OAK,KATAVIA - RECLAIMED OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
KATAVIA TWILIGHT OAK,VTGTWIOAK6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGTWIOAK6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/twilight-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA TWILIGHT OAK,KATAVIA - TWILIGHT OAK 6X48,MSI,2019 Price list,26-Mar-18,,,
KATAVIA WOODRIFT GRAY,VTGWOOGRA6X48-2MM-6MIL,6x48,N/A,2.0MM; 12 mil wear layer,2.00,18.00,36.00,SQFT,0.98,1.96,,VTGWOOGRA6X48-2MM-6MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-katavia/woodrift-gray/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,KATAVIA WOODRIFT GRAY,KATAVIA - WOODRIFT GRAY 6X48,MSI,2019 Price list,26-Mar-18,,,
WILMONT BURNISHED ACACIA,VTGBURACA7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGBURACA7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/burnished-acacia/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT BURNISHED ACACIA,WILMONT - BURNISHED ACACIA 7.36X48.31,MSI,2019 Price list,26-Mar-18,,,
WILMONT CHARCOAL OAK,VTGCHAOAK7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGCHAOAK7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/charcoal-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT CHARCOAL OAK,WILMONT - CHARCOAL OAK 7.36X48.31,MSI,2019 Price list,26-Mar-18,,,
WILMONT ELMWOOD ASH,VTGELMASH7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGELMASH7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/elmwood-ash/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT ELMWOOD ASH,WILMONT - ELMWOOD ASH 7.36X48.31,MSI,2019 Price list,26-Mar-18,,,
WILMONT LIME WASHED OAK,VTGLIMWAS7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGLIMWAS7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/lime-washed-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT LIME WASHED OAK,WILMONT - LIME WASHED OAK 7.36X48.31,MSI,2019 Price list,27-Mar-18,,,
WILMONT RECLAIMED OAK,VTGRECOAK7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGRECOAK7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/reclaimed-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT RECLAIMED OAK,WILMONT - RECLAIMED OAK 7.36X48.31,MSI,2019 Price list,26-Mar-18,,,
WILMONT TWILIGHT OAK,VTGTWIOAK7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGTWIOAK7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/twilight-oak/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT TWILIGHT OAK,WILMONT - TWILIGHT OAK 7.36X48.31,MSI,2019 Price list,26-Mar-18,,,
WILMONT WOODRIFT GRAY,VTGWOOGRA7X48-2.5MM-20MIL,7x48,N/A,2.5MM; 20 mil wear layer,2.47,16.00,39.52,SQFT,1.56,3.85,,VTGWOOGRA7X48-2.5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/dryback-wilmont/woodrift-gray/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - DRYBACK,WILMONT WOODRIFT GRAY,WILMONT - WOODRIFT GRAY 7.36X48.31,MSI,2019 Price list,26-Mar-18,,,
EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,,,,,,,,,,,,,,,,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,,MSI,,,,,
ANDOVER ABINGDALE ,VTRABINGD7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRABINGD7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/abingdale/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER ABINGDALE ,ANDOVER - ABINGDALE 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER BAYHILL BLONDE ,VTRBAYBLO7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRBAYBLO7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/bayhill-blonde/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER BAYHILL BLONDE ,ANDOVER - BAYHILL BLONDE 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER BLYTHE ,VTRBLYTHE7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRBLYTHE7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/blythe/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER BLYTHE ,ANDOVER - BLYTHE 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER DAKWORTH ,VTRDAKWOR7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRDAKWOR7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/dakworth/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER DAKWORTH ,ANDOVER - DAKWORTH 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER HATFIELD ,VTRHATFIE7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRHATFIE7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/hatfield/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER HATFIELD ,ANDOVER - HATFIELD 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER HIGHCLIFFE GREIGE ,VTRHIGGRE7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRHIGGRE7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/highcliffe-greige/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER HIGHCLIFFE GREIGE ,ANDOVER - HIGHCLIFFE GREIGE 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER KINGSDOWN GRAY ,VTRKINGRA7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRKINGRA7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/kingsdown-gray/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER KINGSDOWN GRAY ,ANDOVER - KINGSDOWN GRAY 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
ANDOVER WHITBY WHITE ,VTRWHIWHI7X48-5MM-20MIL,7x48,N/A,4MM Core + 1MM XPE backing; 20 mil wear layer,2.38,10.00,23.77,SQFT,2.03,4.83,,VTRWHIWHI7X48-5MM-20MIL,https://www.msisurfaces.com/vinyl-flooring/rigid-core-andover/whitby-white/,LVT,LVT,EVERLIFE LUXURY VINYL TILE (LVT) - RIGIDCORE,ANDOVER WHITBY WHITE ,ANDOVER - WHITBY WHITE 7.13X48.03,MSI,2019 Price list,15-Oct-18,,,
