* Color Green highlighted items are launched in last 6 months,,,,,,,,,,,,,,,,,,,,,,,,
*Items highlighted in Orange will have a rolling change in pieces per box or boxes per pallet packaging in 2020.  These will be communicated as the old inventory depletes and the new inventory with new packaging arrives,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT COLLECTION,ItemNumber,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,ItemNumber,Web Link,Product Line,Material,Product Category,PRODUCT COLLECTION,Description,Status,Source,Creation Date,Comments,,
ARCTIC STORM BAMBOO,SMOT-AS-BMP10MM,PATTERN,HONED,0.38 INCH,0.96,10.00,9.60,EACH,11.88,11.88,,SMOT-AS-BMP10MM,https://www.msisurfaces.com/white-oak/arctic-storm-bamboo-pattern/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC STORM BAMBOO,Arctic Storm Bamboo Pattern Honed,MSI,2019 Price list,12-Nov-12,,,
ARCTIC STORM INTERLOCKING,SMOT-AS-ILH,PATTERN,HONED,0.38 INCH,1.00,10.00,10.00,EACH,9.37,9.37,,SMOT-AS-ILH,https://www.msisurfaces.com/1x1-mosaic-sheets/arctic-storm-interlocking/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC STORM INTERLOCKING,Arctic Storm Interlocking Pattern Honed,MSI,2019 Price list,27-Jul-12,,,
ARCTIC STORM INTERLOCKING 3D PEEL AND STICK,SMOT-PNS-ASIL3D-6MM,PATTERN,HONED,0.24 INCH,1.00,15.00,15.00,EACH,8.85,8.85,,SMOT-PNS-ASIL3D-6MM,https://www.msisurfaces.com/stick-wall-tile/arctic-storm-interlocking-3d/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARCTIC STORM INTERLOCKING 3D PEEL AND STICK,Arctic Storm Interlocking3DPeel&Stick,MSI,2019 Price list,19-Oct-16,,,
ARIA INTERLOCKING PATTERN,SMOT-SGLSIL-ARIA8MM,PATTERN,MISC.,0.31 INCH,1.50,10.00,15.00,EACH,17.53,17.53,,SMOT-SGLSIL-ARIA8MM,https://www.msisurfaces.com/glass-stone-blend-designs/aria-interlocking/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARIA INTERLOCKING PATTERN,Aria Interlocking Pattern 8mm,MSI,2019 Price list,10-Sep-15,,,
ARTISTA INTERLOCKING,SMOT-GLSIL-ARTISTA8MM,PATTERN,MISC.,0.32 INCH,0.97,10.00,9.70,EACH,11.88,11.88,,SMOT-GLSIL-ARTISTA8MM,https://www.msisurfaces.com/crystallized-glass-blend-8mm/artista-interlocking/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ARTISTA INTERLOCKING,Artista Interlocking 8mm,MSI,2019 Price list,20-Feb-14,,,
ASHLAR ROCK INTERLOCKING 3D,SMOT-SGLSIL-AR8MM,PATTERN,MISC.,0.24 INCH,1.00,10.00,10.00,EACH,11.88,11.88,,SMOT-SGLSIL-AR8MM,https://www.msisurfaces.com/glass-stone-blend-designs/ashlar-rock-interlocking-3d/,MD,MOSAIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ASHLAR ROCK INTERLOCKING 3D,Ashlar Rock Interlocking 3D Pattern,MSI,2019 Price list,21-May-13,,,
ASTERIA BLEND INTERLOCKING 3D,SMOT-ASTERIA-3DIL,PATTERN,POLISHED,Random,1.00,10.00,10.00,EACH,13.14,13.14,,SMOT-ASTERIA-3DIL,https://www.msisurfaces.com/natural-stone-mosaics/asteria-blend-3d-interlocking/,MD,MARBLE,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ASTERIA BLEND INTERLOCKING 3D,Asteria Blend Interlocking 3D,MSI,2019 Price list,26-Mar-14,,,
AYRES BLEND,SMOT-GLBRK-AB8M,1x2,MISC.,0.31 INCH,0.98,10.00,9.80,EACH,8.49,8.49,,SMOT-GLBRK-AB8M,https://www.msisurfaces.com/crystallized-glass-blend-8mm/ayres-blend-brick/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,AYRES BLEND,Ayres Blend 1x2x8mm,MSI,2019 Price list,1-Jun-11,,,
AZUL SCALLOP,SMOT-PT-AZULSCAL8MM,MISC.,GLOSSY,0.31 INCH,0.91,10.00,9.10,EACH,6.39,6.39,,SMOT-PT-AZULSCAL8MM,https://www.msisurfaces.com/arabescato-carrara/azul-scallop-8mm/,MD,PORCELAIN,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,AZUL SCALLOP,Azul Scallop 8mm,MSI,2019 Price list,22-Jan-18,,,
AZURITE INTERLOCKING,SMOT-GLSPIL-AZUR8MM,PATTERN,MISC.,0.31 INCH,0.97,10.00,9.70,EACH,8.91,8.91,,SMOT-GLSPIL-AZUR8MM,https://www.msisurfaces.com/porcelain-glass-blend/azurite-interlocking-8mm/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,AZURITE INTERLOCKING,Azurite Interlocking 8mm,MSI,2019 Price list,9-Jun-17,,,
