ghi,Code,Desc,List Price
,GWDC2430ACW,GHI WDC2430 ARCADIA WH SHAKER, $260.00 
,GW3012ACW,GHI W3012 ARCADIA WH SHAKER, $130.00 
,GW3612ACW,GHI W3612 ARCADIA WH SHAKER, $143.00 
,GW2415ACW,GHI W2415 ARCADIA WH SHAKER, $142.00 
,GW3015ACW,GHI W3015 ARCADIA WH SHAKER, $154.00 
,GW3315ACW,GHI W3315 ARCADIA WH SHAKER, $166.00 
,GW3615ACW,GHI W3615 ARCADIA WH SHAKER, $167.00 
,GW3018ACW,GHI W3018 ARCADIA WH SHAKER, $160.00 
,GW3618ACW,GHI W3618 ARCADIA WH SHAKER, $190.00 
,GW3024ACW,GHI W3024 ARCADIA WH SHAKER, $243.00 
,GW3624ACW,GHI W3624 ARCADIA WH SHAKER, $278.00 
,GW331224ACW,GHI W331224 ARCADIA WH SHAKER, $174.00 
,GW361224ACW,GHI W361224 ARCADIA WH SHAKER, $191.00 
,GW331524ACW,GHI W331524 ARCADIA WH SHAKER, $192.00 
,GW361524ACW,GHI W361524 ARCADIA WH SHAKER, $201.00 
,GW361824ACW,GHI W361824 ARCADIA WH SHAKER, $242.00 
,GW332424ACW,GHI W332424 ARCADIA WH SHAKER, $250.00 
,GW362424ACW,GHI W362424 ARCADIA WH SHAKER, $272.00 
,GW0936ACW,GHI W0936 ARCADIA WH SHAKER, $138.00 
,GW1236ACW,GHI W1236 ARCADIA WH SHAKER, $161.00 
,GW1536ACW,GHI W1536 ARCADIA WH SHAKER, $173.00 
,GW1836ACW,GHI W1836 ARCADIA WH SHAKER, $202.00 
,GW2136ACW,GHI W2136 ARCADIA WH SHAKER, $213.00 
,GW2436ACW,GHI W2436 ARCADIA WH SHAKER, $246.00 
,GW2736ACW,GHI W2736 ARCADIA WH SHAKER, $270.00 
,GW3036ACW,GHI W3036 ARCADIA WH SHAKER, $272.00 
,GW3336ACW,GHI W3336 ARCADIA WH SHAKER, $291.00 
,GW3636ACW,GHI W3636 ARCADIA WH SHAKER, $310.00 
,GWAC2436ACW,GHI WAC2436 ARCADIA WH SHAKER, $323.00 
,GWDC2436ACW,GHI WDC2436 ARCADIA WH SHAKER, $295.00 
,GWDC2736ACW,GHI WDC2736 ARCADIA WH SHAKER, $335.00 
,GW0942ACW,GHI W0942 ARCADIA WH SHAKER, $155.00 
,GW1242ACW,GHI W1242 ARCADIA WH SHAKER, $181.00 
,GW1542ACW,GHI W1542 ARCADIA WH SHAKER, $196.00 
,GW1842ACW,GHI W1842 ARCADIA WH SHAKER, $228.00 
,GW2142ACW,GHI W2142 ARCADIA WH SHAKER, $240.00 
,GW2442ACW,GHI W2442 ARCADIA WH SHAKER, $278.00 
,GW2742ACW,GHI W2742 ARCADIA WH SHAKER, $304.00 
,GW3042ACW,GHI W3042 ARCADIA WH SHAKER, $307.00 
,GW3342ACW,GHI W3342 ARCADIA WH SHAKER, $328.00 
,GW3642ACW,GHI W3642 ARCADIA WH SHAKER, $349.00 
,GWAC2442ACW,GHI WAC2442 ARCADIA WH SHAKER, $365.00 
,GWDC2442ACW,GHI WDC2442 ARCADIA WH SHAKER, $340.00 
,GWDC2742ACW,GHI WDC2742 ARCADIA WH SHAKER, $382.00 
,GB09ACW,GHI B09 ARCADIA WH SHAKER(FH), $191.00 
,GB12ACW,GHI B12 ARCADIA WH SHAKER, $214.00 
,GB15ACW,GHI B15 ARCADIA WH SHAKER, $217.00 
,GB18ACW,GHI B18 ARCADIA WH SHAKER, $236.00 
,GB18FHACW,GHI B18FH ARCADIA WH SHAKER, $195.00 
,GB21ACW,GHI B21 ARCADIA WH SHAKER, $262.00 
,GB24ACW,GHI B24 ARCADIA WH SHAKER, $284.00 
,GB27ACW,GHI B27 ARCADIA WH SHAKER, $317.00 
,GB30ACW,GHI B30 ARCADIA WH SHAKER, $364.00 
,GB33ACW,GHI B33 ARCADIA WH SHAKER, $380.00 
,GB36ACW,GHI B36 ARCADIA WH SHAKER, $396.00 
,GBBC42-45ACW,GHI BBC42-45 ARCADIA WH SHAKER, $332.00 
,GDB15ACW,GHI DB15 ARCADIA WH SHAKER, $382.00 
,GDB18ACW,GHI DB18 ARCADIA WH SHAKER, $388.00 
,GDB21ACW,GHI DB21 ARCADIA WH SHAKER, $398.00 
,GDB24ACW,GHI DB24 ARCADIA WH SHAKER, $404.00 
,GDB24-2ACW,GHI DB24-2 AR WH SHAKER-2 drawer, $370.00 
,GDB30ACW,GHI DB30 ARCADIA WH SHAKER, $413.00 
,GDB30-2ACW,GHI DB30-2 ARCADIA WH SHA-2 drawer, $379.00 
,GDCB3612ACW,GHI DCB3612 ARCADIA WH SHAKER, $566.00 
,GBC24ACW,GHI BC24 ARCADIA WH SHAKER, $611.00 
,GSB30ACW,GHI SB30 ARCADIA WH SHAKER, $295.00 
,GSB33ACW,GHI SB33 ARCADIA WH SHAKER, $305.00 
,GSB36ACW,GHI SB36 ARCADIA WH SHAKER, $314.00 
,GFSB36ACW,GHI FSB36 ARCADIA WH SHAK (FARMHOUSE) SINK, $305.00 
,GSB42ACW,GHI SB42 ARCADIA WH SHAKER, $344.00 
,GSB60ACW,GHI SB60 ARCADIA WH SHAKER, $490.00 
,GWP1884ACW,GHI WP1884 ARCADIA WH SHAKER, $603.00 
,GWP2484ACW,GHI WP2484 ARCADIA WH SHAKER, $811.00 
,GWP1890ACW,GHI WP1890 ARCADIA WH SHAKER, $647.00 
,GWP2490ACW,GHI WP2490 ARCADIA WH SHAKER, $869.00 
,GWP1896ACW,GHI WP1896 ARCADIA WH SHAKER, $669.00 
,GWP2496ACW,GHI WP2496 ARCADIA WH SHAKER, $899.00 
,GOU332484ACW,GHI OU332484 ARCADIA WH SHAKER," $1,252.00 "
,GOU332490ACW,GHI OU332490 ARCADIA WH SHAKER," $1,311.00 "
,GTK8ACW,GHI TK8 ARCADIA WH SHAKER, $22.00 
,GCM8ACW,GHI CM8 ARCADIA WHI SHAKER, $72.00 
,GSM8ACW,GHI SHAKER CROWN MOLD ARCAD WH, $69.00 
,GFBM8ACW,GHI FBM8 ARCADIA WHITE, $68.00 
,GLRMS7ACW,GHI LRMS7 ARCADIA WH SHAKER, $35.00 
,GOSC7ACW,GHI OSC7 ARCADIA WH SHAKER, $39.00 
,GSCM7ACW,GHI SCM7 ARCADIA WH SHAKER, $23.00 
,GVAR48ACW,GHI VAR48 ARCADIA WH SHAKER, $12.00 
,GF330ACW,GHI F330 ARCADIA WH SHAKER, $6.00 
,GF342ACW,GHI F342 ARCADIA WH SHAKER, $7.00 
,GF396ACW,GHI F396 ARCADIA WH SHAKER, $17.00 
,GF642ACW,GHI F642 ARCADIA WH SHAKER, $14.00 
,GBF3ACW,GHI BF3 ARCADIA WH SHAKER, $10.00 
,GBEP3LACW,GHI BEP3L ARCADIA WH SHAKER, $65.00 
,GEP24X35ACW,GHI END PA 24X35X3/16 AR WH SH, $27.00 
,GWEP12X42ACW,GHI WALL END PA 12X42 AR WH SH, $19.00 
,G3X4PANACW,"GHI 3X4X1/4"" ARCADIA WH SHAKER", $58.00 
,GRP84ACW,GHI RP84 ARCADIA WH SHAKER, $109.00 
,GRP90ACW,GHI RP90 ARCADIA WH SHAKER, $115.00 
,GRP96ACW,GHI RP96 ARCADIA WH SHAKER, $122.00 
,GMC3018ACW,GHI MC3018 ARCADIA WH SHAKER, $118.00 
,GPR3015ACW,GHI PR3015 ARCADIA WH SHAKER, $164.00 
,GWR3015ACW,GHI WR3015 ARCADIA WH SHAKER, $163.00 
,GSGH30ACW,GHI SGH30 ARCADIA WH SHAKER, $98.00 
,G1530MDACW,GHI 1530MD ARCADIA WH SHAKER, $73.00 
,G1830MDACW,GHI 1830MD ARCADIA WH SHAKER, $94.00 
,G3030MDACW,GHI 3030 MD ARCADIA WH SH/2 PK, $152.00 
,G3630MDACW,GHI 3630 MD ARCADIA WH SH/2PK, $182.00 
,GDC2430MDACW,GHI DC2430MD ARCADIA WH SHAKER, $84.00 
,G1536MDACW,GHI 1536MD ARCADIA WH SHAKER, $84.00 
,G1836MDACW,GHI 1836 MULL DR ARCADIA WH SH, $108.00 
,G3036MDACW,GHI 3036 MUL DR ARCADIA WH/2PK, $176.00 
,G3636MDACW,GHI 3636 MUL DR ARCADIA WH/2PK, $211.00 
,GDC2436MDACW,GHI DC2436 MULL DR ARCADIA WHI, $102.00 
,GDC2736MDACW,GHI DC2736 MULL DR ACARDIA WHI, $110.00 
,G1542MDACW,GHI 1542 MULL DR ARCADIA WH SH, $94.00 
,G1842MDACW,GHI 1842 MULL DR ARCADIA WH SH, $123.00 
,G3042MDACW,GHI 3042 MULL DR ARCADIA WH/2P, $200.00 
,G3642MDACW,GHI 3642 MULL DR ARCADIA WH/2P, $240.00 
,GDC2442MDACW,GHI DC2442 MULL DR ARCADIA WH , $109.00 
,GDC2742MDACW,GHI DC2742MD ARCADIA WH SHAKER, $117.00 
,GCSF36ACW,GHI CSF36 ARCADIA WH SHAKER, $103.00 
,G30DDACW,"GHI 30"" DECO DR ARCADIA WH SHA", $58.00 
,G36DDACW,"GHI 36"" DECO DR ARCADIA WH SHA", $71.00 
,G42DDACW,"GHI 42"" DECO DR ARCADIA WH SHA", $83.00 
,GBDDACW,GHI BASE DECO DR ARCADIA WH SH, $129.00 
,,,
,GV1816ACW,GHI V1816 ARCADIA WHITE SHAKER, $150.00 
,GV2418ACW,GHI V2418 ARCADIA WHITE SHAKER, $190.00 
,GV2421ACW,GHI V2421 ARCADIA WHITE SHAKER, $197.00 
,GVDB1221ACW,GHI VDB1221 ARCADIA WHITE SHAK, $311.00 
,GV3021DACW,GHI V3021D ARCADIA WHITE SHAKE, $283.00 
,GV3621DACW,GHI V3621D ARCADIA WHITE SHAKE, $324.00 
,GV4821DACW,GHI V4821D ARCADIA WHITE SHAKE, $415.00 
,GV6021DACW,GHI V6021D ARCADIA WHITE SHAKE, $520.00 
,GL781821ACW,GHI L781821 ARCADIA WHITE SHAK, $555.00 
,GBV2126ACW,GHI BV2126 ARCADIA WHITE SHAKE, $158.00 
,GSM3030ACW,GHI SM3030 ARCADIA WHITE SHAKER, $233.00 
,GSM3630ACW,GHI SM3630 ARCADIA WHITE SHAKER, $251.00 
,,,
DeptN,Code,Desc,List Price
,GW0930ACL,GHI W0930 ACL LINEN SHAKER, $120.00 
,GW1230ACL,GHI W1230 ACL LINEN SHAKER, $140.00 
,GW1530ACL,GHI W1530 ACL LINEN SHAKER, $151.00 
,GW1830ACL,GHI W1830 ACL LINEN SHAKER, $176.00 
,GW2130ACL,GHI W2130 ACL LINEN SHAKER, $186.00 
,GW2430ACL,GHI W2430 ACL LINEN SHAKER, $215.00 
,GW2730ACL,GHI W2730 ACL LINEN SHAKER, $235.00 
,GW3030ACL,GHI W3030 ACL LINEN SHAKER, $237.00 
,GW3330ACL,GHI W3330 ACL LINEN SHAKER, $253.00 
,GW3630ACL,GHI W3630 ACL LINEN SHAKER, $270.00 
,GWAC2430ACL,GHI WAC2430 ACL LINEN SHAKER, $281.00 
,GWBC2730ACL,GHI WBC2730 ACL LINEN SHAKER, $234.00 
,GWDC2430ACL,GHI WDC2430 ACL LINEN SHAKER, $260.00 
,GW3012ACL,GHI W3012 ACL LINEN SHAKER, $130.00 
,GW3612ACL,GHI W3612 ACL LINEN SHAKER, $143.00 
,GW2415ACL,GHI W2415 ACL LINEN SHAKER, $142.00 
,GW3015ACL,GHI W3015 ACL LINEN SHAKER, $154.00 
,GW3315ACL,GHI W3315 ACL LINEN SHAKER, $166.00 
,GW3615ACL,GHI W3615 ACL LINEN SHAKER, $167.00 
,GW3018ACL,GHI W3018 ACL LINEN SHAKER, $160.00 
,GW3618ACL,GHI W3618 ACL LINEN SHAKER, $190.00 
,GW3024ACL,GHI W3024 ACL LINEN SHAKER, $243.00 
,GW3624ACL,GHI W3624 ACL LINEN SHAKER, $278.00 
,GW331224ACL,GHI W331224 ACL LINEN SHAKER, $174.00 
,GW361224ACL,GHI W361224 ACL LINEN SHAKER, $191.00 
,GW331524ACL,GHI W331524 ACL LINEN SHAKER, $192.00 
,GW361524ACL,GHI W361524 ACL LINEN SHAKER, $201.00 
,GW361824ACL,GHI W361824 ACL LINEN SHAKER, $242.00 
,GW332424ACL,GHI W332424 ACL LINEN SHAKER, $250.00 
,GW362424ACL,GHI W362424 ACL LINEN SHAKER, $272.00 
,GW0936ACL,GHI W0936 ACL LINEN SHAKER, $138.00 
,GW1236ACL,GHI W1236 ACL LINEN SHAKER, $161.00 
,GW1536ACL,GHI W1536 ACL LINEN SHAKER, $173.00 
,GW1836ACL,GHI W1836 ACL LINEN SHAKER, $202.00 
,GW2136ACL,GHI W2136 ACL LINEN SHAKER, $213.00 
,GW2436ACL,GHI W2436 ACL LINEN SHAKER, $246.00 
,GW2736ACL,GHI W2736 ACL LINEN SHAKER, $270.00 
,GW3036ACL,GHI W3036 ACL LINEN SHAKER, $272.00 
,GW3336ACL,GHI W3336 ACL LINEN SHAKER, $291.00 
,GW3636ACL,GHI W3636 ACL LINEN SHAKER, $310.00 
